Name,Link,Img,DOB,age(years),status,description,_id
A. K. Hangal,https://en.wikipedia.org/wiki/A._K._Hangal,A. K. Hangal.jpg,"1 February 1914,",98,Died,"Avtar Kishan Hangal, popularly known as A. K. Hangal, was an Indian freedom fighter from 1929–1947 and also stage actor from 1936–1965 and later became a character actor in Hindi language films from 1966 to 2005.",5ea7bbddff604553fe22702b
Aadhi,https://en.wikipedia.org/wiki/Aadhi_(actor),Aadhi.jpg,14 December 1982,37,Alive,"Aadhi Pinisetty is an Indian film actor who appears in Tamil and Telugu films. He debuted in 2006 with the Telugu film Oka `V` Chitram, and got his big break with 2009 film Eeram, produced by Director S. Shankar. His father, Ravi Raja Pinisetty, has directed 56 films.",5ea7bbe3ff604553fe22702c
Aadi Pudipeddi,https://en.wikipedia.org/wiki/Aadi_(Telugu_actor),Aadi Pudipeddi.jpg,23 December 1989,30,Alive,"Aadi Saikumar is an Indian film actor, and cricketer, known for working exclusively in Telugu cinema. Born to veteran actor Sai Kumar Pudipeddi, Aadi made his film debut in 2011 with the film Prema Kavali under the direction of K. Vijaya Bhaskar.",5ea7bbe8ff604553fe22702d
Aamir Khan,https://en.wikipedia.org/wiki/Aamir_Khan,Aamir Khan.jpg,14 March 1965,55,Alive,"Mohammed Aamir Hussain Khan is an Indian actor, director, filmmaker and television talk-show host. Through his career spanning over thirty years in Hindi films, Khan has established himself as one of the most popular and influential actors of Indian cinema.",5ea7bbedff604553fe22702e
Aashish Chaudhary,https://en.wikipedia.org/wiki/Aashish_Chaudhary,Aashish Chaudhary.jpg,21 July 1978,41,Alive,"Ashish Chaudhary is a Bollywood actor. Then he hosted a program for Disney. He has acted in many music videos as well as advertisements. Afterwards he shifted to television shows and acted in Hum Pardesi Ho Gaye, Kya Yehi Pyaar Hai. In 2003, he acted in a movie called Qayamat along with Ajay Devgan and Neha Dhupia.",5ea7bbf0ff604553fe22702f
Abbas,https://en.wikipedia.org/wiki/Abbas_(actor),Abbas.jpg,21 May 1975,44,Alive,"Abbas is an Indian Tamil film actor and model, who has predominantly appeared in Tamil films, and a few films in Telugu, Malayalam, Hindi and Kannada. After making his debut with Kadhir's Kadhal Desam, Abbas enjoyed success as the second lead actor in Tamil films from 1999 to 2009.",5ea7bbf5ff604553fe227030
Abhay Deol,https://en.wikipedia.org/wiki/Abhay_Deol,Abhay Deol.jpg,15 March 1976,44,Alive,"Abhay Deol is an Indian actor and producer, who works predominantly in Hindi language films. Born in the influential Deol family of the Hindi cinema, he began acting at a young age in theater productions at his school. Deol made his on-screen debut in 2005 with Imtiaz Ali's romantic comedy Socha Na Tha.",5ea7bbf8ff604553fe227031
Abhijeeth,https://en.wikipedia.org/wiki/Abhijeeth,Abhijeeth.jpg,30 October 1958,61,Alive,"Abhijeet Bhattacharya, better known as Abhijeet, is a Bollywood playback singer born to a Kanpur-based Bengali businessman turned editor Dhirendranath Bhattacharya, and his wife Kamladevi Bhattacharya in Kanpur, Uttar Pradesh. Abhijeet was the youngest among the four sons in the family.",5ea7bbfbff604553fe227032
Abhishek Bachchan,https://en.wikipedia.org/wiki/Abhishek_Bachchan,Abhishek Bachchan.jpg,5 February 1976,44,Alive,"Abhishek Bachchan is an Indian film actor and film producer known for his work in Bollywood. Part of the Bachchan family, he is the son of actors Amitabh Bachchan and Jaya Bachchan.",5ea7bbfeff604553fe227033
Abhishek Chatterjee,https://en.wikipedia.org/wiki/Abhishek_Chatterjee,Abhishek Chatterjee.jpg,30 April 1964,55,Alive,"Abhishek Chatterjee is an Indian actor who is known for his work in Bengali cinema. He made his acting debut alongside veterans such as Sandhya Roy, Prosenjit Chatterjee, Tapas Paul and Utpal Dutt with the Bengali film Pathbhola directed by Tarun Majumdar.",5ea7bc02ff604553fe227034
Abhishek Gowda,https://en.wikipedia.org/wiki/Abhishek_Gowda,Abhishek Gowda.jpg,1993,About,Alive,,5ea7bc06ff604553fe227035
Abhimanyu Singh,https://en.wikipedia.org/wiki/Abhimanyu_Singh,Abhimanyu Singh.jpg,20 September 1975,44,Alive,"Abhimanyu Singh is an Indian film actor who works mainly in Bollywood and Bhojpuri cinema. He completed his graduation from St. Stephen's College, New Delhi.",5ea7bc09ff604553fe227036
Abijeet Duddala,https://en.wikipedia.org/wiki/Abijeet_Duddala,Abijeet Duddala.jpg,11 October 1988,31,Alive,"Abijeet is an Indian film actor. He made his debut as the narrative main lead Srinu in the film Life Is Beautiful, directed by Sekhar Kammula in 2012.",5ea7bc0dff604553fe227037
Abir Chatterjee,https://en.wikipedia.org/wiki/Abir_Chatterjee,Abir Chatterjee.jpg,18 November 1980,39,Alive,Abir Chatterjee is an Indian actor who mainly works in Bengali cinema. He is the son of theater personalities Phalguni Chatterjee and Rumki Chatterjee. He started his career with Bengali television and made his debut in Bengali cinema in 2009 as a lead with Cross Connection.,5ea7bc10ff604553fe227038
Achyuth Kumar,https://en.wikipedia.org/wiki/Achyuth_Kumar,Achyuth Kumar.jpg,8 March 1966,54,Alive,"Achyuth Kumar is an Indian actor who predominantly works in Kannada cinema. Born and brought up in the town of Tiptur, in the district of Tumkur. He graduated in bachelor of commerce from the Kalpatharu First Grade College, which was then under the University of Bangalore.",5ea7bc12ff604553fe227039
Adharvaa,https://en.wikipedia.org/wiki/Adharvaa,Adharvaa.jpg,7 May 1989,30,Alive,"Atharvaa Murali, known as Atharvaa, is an Indian film actor working in Tamil cinema. The son of actor Murali and grandson of legendary director S. Siddalingaiah, Atharvaa began his acting career with Baana Kaathadi.",5ea7bc15ff604553fe22703a
Adhyayan Suman,https://en.wikipedia.org/wiki/Adhyayan_Suman,Adhyayan Suman.jpg,13 January 1988,32,Alive,Adhyayan Suman is an Indian actor and singer who appears in Hindi language films. He debuted in 2008 with Haal–e–dil. His second film was Raaz – The Mystery Continues was a semi-hit. Suman's was praised for his performance in the 2009 Mukesh Bhatt film Jashnn.,5ea7bc1aff604553fe22703b
Adil Hussain,https://en.wikipedia.org/wiki/Adil_Hussain,Adil Hussain.jpg,5 October 1963,56,Alive,"Adil Hussain is an Indian actor who has worked in Indian cinema, including art house cinema and mainstream Bollywood, as well as international cinema, in films such as The Reluctant Fundamentalist and Life of Pi. He received National Film Awards at the 2017 National Film Awards for Hotel Salvation and Maj Rati Keteki.",5ea7bc1cff604553fe22703c
Aditya Babu,https://en.wikipedia.org/wiki/Aditya_Babu,Aditya Babu.jpg,1984,About,Alive,"Aditya Babu is a Tollywood producer and actor. He is the son of the late J. D. Sompalli, a Tollywood producer.",5ea7bc1fff604553fe22703d
Aditya Pancholi,https://en.wikipedia.org/wiki/Aditya_Pancholi,Aditya Pancholi.jpg,4 January 1965,55,Alive,"Aditya Pancholi is an Indian film actor, producer and playback singer who appears in Bollywood films. He started his career as a lead actor, though he was more successful in supporting roles and as an antagonist. He received a Filmfare nomination for the Best Performance in a Negative Role for Yes Boss.",5ea7bc22ff604553fe22703e
Aditya Kumar,https://en.wikipedia.org/wiki/Aditya_Kumar,Aditya Kumar.jpg,7 December 1992,27,Alive,Aditya Kumar is an Indian actor who acted in film Gangs of Wasseypur II.,5ea7bc25ff604553fe22703f
Aditya Roy Kapur,https://en.wikipedia.org/wiki/Aditya_Roy_Kapur,Aditya Roy Kapur.jpg,16 November 1985,34,Alive,Aditya Roy Kapur is an Indian film actor who works in Hindi films. He is the younger brother of actors Siddharth Roy Kapur and Kunaal Roy Kapur.,5ea7bc29ff604553fe227040
Adoor Bhasi,https://en.wikipedia.org/wiki/Adoor_Bhasi,Adoor Bhasi.jpg,"1 March 1927,",63,Died,"K. Bhaskaran Nair, known by his stage name Adoor Bhasi, was an Indian film actor and film director from Kerala. Adoor Bhasi was almost always cast as the man who stands next to the hero. His hilarious actions and roles became the cynosure of comic scenes in the Malayalam films of the 1950s, 1960s, 1970s and 1980s.",5ea7bc2bff604553fe227041
Aftab Shivdasani,https://en.wikipedia.org/wiki/Aftab_Shivdasani,Aftab Shivdasani.jpg,25 June 1978,41,Alive,"Aftab Shivdasani is an Indian film actor, producer and model known for his works in Bollywood. Shivdasani was selected as the Farex baby at the age of 14 months and eventually appeared in many TV commercials.",5ea7bc2fff604553fe227042
Ahuti Prasad,https://en.wikipedia.org/wiki/Ahuti_Prasad,Ahuti Prasad.jpg,"2 January 1958,",57,Died,"Ahuti Prasad was an Indian character actor in the Telugu film industry. He was renowned for the wide variety of roles he played, including father-figure, comedian, and antagonist. Prasad appeared in over 150 films in his career spanning nearly three decades.",5ea7bc35ff604553fe227043
Ajay Devgan,https://en.wikipedia.org/wiki/Ajay_Devgan,Ajay Devgan.jpg,2 April 1969,51,Alive,"Vishal Devgan, known professionally as Ajay Devgn, is an Indian film actor, director and producer. He is widely considered as one of the most intense and influential actors of Hindi cinema, who has appeared in over a hundred Hindi films.",5ea7bc39ff604553fe227044
Ajay Rao,https://en.wikipedia.org/wiki/Ajay_Rao,Ajay Rao.jpg,24 January 1980,40,Alive,Ajai Rao is an Indian actor who works primarily in Kannada film industry. He rose to fame with 2003 blockbuster movie Excuse Me.,5ea7bc3cff604553fe227045
Ajaz Khan,https://en.wikipedia.org/wiki/Ajaz_Khan,Ajaz Khan.jpg,1980,About,Alive,Ajaz Khan is an Indian film actor. He has starred in movies such as Rakta Charitra and Allah Ke Banday and acted in several television daily soaps including Rahe Tera Aashirwaad and Kahaani Hamaaray Mahaabhaarat Ki. Khan is known for his appearance in Bigg Boss 7.,5ea7bc3fff604553fe227046
Ajinkya Dev,https://en.wikipedia.org/wiki/Ajinkya_Dev,Ajinkya Dev.jpg,3 May 1963,56,Alive,Ajinkya Deo is an Indian actor in Marathi films and is the son of veteran Marathi actor Ramesh Deo and Seema Deo. He is elder brother of Hindi film director Abhinay Deo. Vasudev Balawant Phadke was the latest Marathi film in which he was the lead. The film was released in December 2007.,5ea7bc42ff604553fe227047
Ajit Khan,https://en.wikipedia.org/wiki/Ajit_Khan,Ajit Khan.jpg,"27 January 1922,",76,Died,"Hamid Ali Khan, better known by his stage name Ajit, was an Indian actor active in Hindi films. He acted in over two hundred movies over almost four decades.",5ea7bc45ff604553fe227048
Ajith Kumar,https://en.wikipedia.org/wiki/Ajith_Kumar,Ajith Kumar.jpg,1 May 1971,48,Alive,"Ajith Kumar, often mononymously called Ajith, is an Indian film actor who works predominantly in Tamil cinema. To date, Ajith has starred in over 50 films. In addition to his acting, he is also a motor car racer and participated in the MRF Racing series.",5ea7bc49ff604553fe227049
Ajmal Ameer,https://en.wikipedia.org/wiki/Ajmal_Ameer,Ajmal Ameer.jpg,2 March 1985,35,Alive,"Ajmal Ameer is an Indian film actor and physician, who works in the Malayalam, Tamil, and Telugu film industries. He has also acted in one English movie. He has won two Filmfare Awards South.",5ea7bc4bff604553fe22704a
Aju Varghese,https://en.wikipedia.org/wiki/Aju_Varghese,Aju Varghese.jpg,11 January 1985,35,Alive,"Aju Varghese is an Indian film actor and producer who appears in Malayalam cinema. He made his debut in 2010 in Malarvadi Arts Club, directed by his college classmate Vineeth Sreenivasan, son of veteran actor Sreenivasan. He has starred in more than 100 films.",5ea7bc4eff604553fe22704b
Akkineni Akhil,https://en.wikipedia.org/wiki/Akhil_(Telugu_actor),Akkineni Akhil.jpg,8 April 1994,26,Alive,"Akhil Akkineni is an Indian actor who works in Telugu cinema. He is the son of actors Akkineni Nagarjuna and Amala, the grandson of actor Nageswara Rao, and half-brother of Akkineni Naga Chaitanya. His sister-in-law Samantha Akkineni is also an actor.",5ea7bc51ff604553fe22704c
Akshay Anand,https://en.wikipedia.org/wiki/Akshay_Anand,Akshay Anand.jpg,30 January 1957,63,Alive,"John Gardner, known professionally as Akshay Anand is an Indian actor who appears mainly in Hindi films & television. He was discovered by actor Dev Anand, who cast him to play the protagonist in one of his directorial ventures Hum Naujawan. Anand has acted in numerous films and TV series across multiple languages.",5ea7bc54ff604553fe22704d
Akshay Kumar,https://en.wikipedia.org/wiki/Akshay_Kumar,Akshay Kumar.jpg,9 September 1967,52,Alive,"Rajiv Hari Om Bhatia, known professionally as Akshay Kumar, is a Canadian actor, producer, martial artist and television personality who works in Bollywood films.",5ea7bc59ff604553fe22704e
Akshaye Khanna,https://en.wikipedia.org/wiki/Akshaye_Khanna,Akshaye Khanna.jpg,28 March 1975,45,Alive,"Akshaye Khanna is an Indian actor who appears in Hindi films. He has received two Filmfare Awards and is the son of late actor Vinod Khanna. After studying in Kishore Namit Kapoor Acting Institute in Mumbai, Khanna made his acting debut in Bollywood in 1997 with the movie Himalay Putra.",5ea7bc5cff604553fe22704f
Akul Balaji,https://en.wikipedia.org/wiki/Akul_Balaji,Akul Balaji.jpg,23 February 1979,41,Alive,"Akul Balaji is an Indian film actor, television host and dancer who has worked in both Kannada and Telugu languages. He started his career by acting and hosting television shows and has participated in the Kannada Film Industry for almost a decade.",5ea7bc5fff604553fe227050
Ali Basha,https://en.wikipedia.org/wiki/Ali_(actor),Ali Basha.jpg,10 October 1968,51,Alive,"Ali Basha is an Indian actor and TV presenter who works predominantly in Telugu cinema. He acted in more than 1000 films in Telugu, Tamil and Hindi.",5ea7bc61ff604553fe227051
Allari Naresh,https://en.wikipedia.org/wiki/Allari_Naresh,Allari Naresh.jpg,30 June 1982,37,Alive,"Allari Naresh is an Indian film actor who appears in Telugu-language films. He is the son of veteran Telugu director and producer E. V. V. Satyanarayana.
Born and brought up in Chennai, Tamil Nadu, he moved to Hyderabad after completing his schooling at Chettinad Vidyashram, Chennai.",5ea7bc64ff604553fe227052
Allu Arjun,https://en.wikipedia.org/wiki/Allu_Arjun,Allu Arjun.jpg,8 April 1983,37,Alive,"Allu Arjun is an Indian film actor who primarily works in Telugu cinema. After playing as a child artist in Vijetha and as a dancer in Daddy, Arjun made his adult debut in Gangotri.
Arjun then appeared in Sukumar's debut film Arya.",5ea7bc67ff604553fe227053
Allu Sirish,https://en.wikipedia.org/wiki/Allu_Sirish,Allu Sirish.jpg,30 May 1987,32,Alive,"Allu Sirish is an Indian film actor who works predominantly in the Telugu film industry
along with a few Tamil and Malayalam films.",5ea7bc6aff604553fe227054
Alok Nath,https://en.wikipedia.org/wiki/Alok_Nath,Alok Nath.jpg,10 July 1956,63,Alive,"Alok Nath is an Indian film character actor known for his work in Hindi cinema and television. He made his film debut with the 1982 film Gandhi, which won the Academy Award for Best Picture that year. He appeared in the soap opera Buniyaad which took the country by a storm in 1986.",5ea7bc6dff604553fe227055
Amar Talwar,https://en.wikipedia.org/wiki/Amar_Talwar,Amar Talwar.jpg,4 May 1922,97,Alive,"Amar Talwar is an artist and Bollywood actor. He appeared in the historical television series Shanti, in which he played Raj 'G.J.' Singh.
Born to a Sikh family on 4 May 1922, Talwar was educated at the Lawrence School, Sanawar, along with his brother Rana Talwar.",5ea7bc70ff604553fe227056
Ambareesh,https://en.wikipedia.org/wiki/Ambareesh,Ambareesh.jpg,"29 May 1952,",66,Died,"Malavalli Huchche Gowda Amarnath, known by his screen name Ambareesh, was an Indian actor, media personality and politician from the State of Karnataka. Alongside Rajkumar and Vishnuvardhan, he is counted in Kannada cinema's ""triumvirate"" as its most celebrated actors.",5ea7bc75ff604553fe227057
Amitabh Bachchan,https://en.wikipedia.org/wiki/Amitabh_Bachchan,Amitabh Bachchan.jpg,11 October 1942,77,Alive,"Amitabh Bachchan is an Indian film actor, film producer, television host, occasional playback singer and former politician. He first gained popularity in the early 1970s for films such as Zanjeer, Deewaar and Sholay, and was dubbed India's ""angry young man"" for his on-screen roles in Bollywood.",5ea7bc78ff604553fe227058
Amjad Khan,https://en.wikipedia.org/wiki/Amjad_Khan_(actor),Amjad Khan.jpg,"12 November 1940,",51,Died,"Amjad Khan was an Indian actor and director. He worked in over 130 films in a career spanning nearly twenty years. He enjoyed popularity for villainous roles in Hindi films, the most famous being the iconic Gabbar Singh in the 1975 classic Sholay and of Dilawar in Muqaddar Ka Sikandar.",5ea7bc7bff604553fe227059
Amol Palekar,https://en.wikipedia.org/wiki/Amol_Palekar,Amol Palekar.jpg,24 November 1944,75,Alive,"Amol Palekar is an Indian actor, director and producer of Hindi and Marathi cinema.",5ea7bc7fff604553fe22705a
